trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
84,False,"{'a': 0.5, 'e': 0.65704681981505675}",20,3,-48.5604096769114,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.65376978512984729}",20,0,-98.1798020319964,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.65050909472331653}",30,14,-20.245921646279772,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.64726466707803465}",20,8,2.8978114683523133,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.64403642108314141}",25,0,-48.895144585538766,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.64082427603231873}",30,14,-29.35467281255088,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.63762815162177333}",30,0,-15.609159683059415,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.63444796794822822}",20,2,-56.34523980879395,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.63128364550692595}",20,14,0.6372653170632994,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.62813510518964077}",20,0,-88.10950628934123,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.62500226828270078}",25,2,-53.40837296771672,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.62188505646502001}",20,0,-111.02601385037522,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
96,False,"{'a': 0.5, 'e': 0.61878339180614084}",25,2,-98.62684534880076,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 3}",1
97,False,"{'a': 0.5, 'e': 0.61569719676428514}",30,12,-52.2052947390902,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.61262639418441611}",30,12,-106.71102925144113,"{0: 9, 1: 5, 2: 2, 3: 0, 4: 2}",1
99,False,"{'a': 0.5, 'e': 0.60957090729630925}",30,0,-47.619428112254006,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.60653065971263342}",20,6,-28.034940095323112,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.60350557542704053}",25,12,-13.450305117693663,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.6004955788122659}",20,0,-13.795294947038204,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.59750059461823746}",20,4,6.731627507995164,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.59452054797019438}",30,18,-17.610088234859433,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.59155536436681511}",25,11,-10.323741428777796,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.58860496967835518}",20,0,-37.95945417015645,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.58566929014479374}",25,0,-16.772446634718882,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.58274825237398964}",20,0,-32.14367212909233,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.57984178333984637}",20,0,-56.836366644240854,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.57694981038048665}",25,13,-9.67758188993912,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.57407226119643595}",20,4,14.980026974369544,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.57120906384881487}",25,0,-8.13
